Order Date,SKU ID,Order Quantity
21-07-2022,2418CA,111770
22-08-2022,2483BA,88200
05-05-2022,2391CA,80574
17-03-2023,2473CA,69415
19-01-2023,2396CA,62000
20-04-2023,2342CA,55186
08-10-2022,2458CA,55000
19-11-2022,3533CA,50000
19-05-2022,3533CA,50000
04-03-2022,2471CA,48665
01-03-2022,2471CA,48500
09-06-2023,2337CA,40504
30-05-2022,3619CA,40152
29-05-2022,1244AA,36946
30-01-2023,3461CA,34993.16
19-03-2022,2371CA,34181
02-06-2023,2483BA,33600
14-08-2022,1116CA,33508
25-09-2022,2391CA,31438.37552
06-11-2022,2391CA,31087.81327
25-10-2022,2391CA,31073.03589
01-11-2022,2391CA,30999.53462
07-10-2022,2391CA,30950.99857
25-01-2023,2391CA,30838.39005
07-11-2022,2391CA,30775.62779
28-09-2022,2391CA,30611.51827
26-11-2022,2391CA,30501.93189
25-09-2022,2391CA,30335.24007
14-01-2023,2391CA,30138.55349
15-03-2023,2391CA,30132.33702
13-09-2022,3533CA,30000
21-04-2022,3512AA,30000
23-02-2023,2391CA,29866.28087
31-10-2022,1077CA,29848
22-01-2023,2391CA,29724.23431
07-05-2023,2391CA,29522.00623
29-05-2023,2391CA,29385.54942
07-02-2023,2391CA,29229.68117
14-12-2022,2391CA,28502.74258
14-02-2023,2391CA,28473.96785
17-11-2022,2391CA,28005.88984
17-04-2023,2391CA,27971.19551
04-06-2023,2391CA,27952.36013
27-10-2022,2391CA,27699.90122
15-02-2023,2391CA,27658.53087
29-11-2022,1126CA,27061
25-09-2022,2391CA,26708.97766
03-02-2023,2391CA,26633.6593
31-05-2022,1116CA,26614
09-11-2022,1126CA,26400
23-12-2022,2391CA,26254.70558
05-11-2022,2391CA,26110.22723
28-04-2023,2391CA,26076.28996
08-01-2023,2391CA,25996.13137
25-08-2022,2391CA,25951.4215
21-04-2022,1964BA,25926
11-05-2023,2391CA,25908.80226
15-10-2022,2391CA,25836.52431
06-06-2023,2391CA,25767.22102
19-10-2022,2391CA,25758.0317
03-01-2023,2391CA,25691.55408
30-08-2022,2391CA,25686.44271
19-11-2022,2391CA,25387.8811
25-02-2023,2391CA,25246.95585
05-10-2022,2391CA,25235.11717
23-03-2023,2391CA,25025.17704
23-03-2023,3533CA,25000
26-04-2022,2458CA,24800
07-02-2023,2391CA,24560.66475
12-01-2023,2391CA,24527.18208
29-08-2022,3619CA,24479
03-05-2023,2391CA,24436.32045
04-02-2023,2391CA,24320.23172
16-03-2022,2429BA,24200
21-02-2022,1126CA,24048
22-03-2023,2391CA,24008.20989
28-04-2023,2391CA,23452.71315
28-02-2023,2391CA,23272.8531
22-05-2023,2391CA,23144.15197
05-06-2023,2391CA,23001.98453
30-12-2022,3512AA,22670
14-12-2022,2391CA,22613.93784
13-05-2023,2391CA,22558.96303
28-12-2022,2391CA,22412.19471
09-05-2023,3533CA,22243
12-09-2022,2391CA,22060.76863
29-07-2022,1126CA,21883
29-10-2022,2391CA,21858.14598
27-04-2023,2391CA,21814.47985
15-11-2022,2391CA,21798.31629
14-03-2023,2391CA,21759.858
09-04-2023,2391CA,21437.6186
29-04-2022,1116CA,21388
